Dátum,Termék,Kategória,Eladott mennyiség (db),Egységár (Ft),Napi árbevétel (Ft),Év,Hónap,Hét napja
2023-01-02,Fehér kenyér,Kenyér,40,800,32000,2023,1,Monday
2023-01-02,Félbarna kenyér,Kenyér,29,850,24650,2023,1,Monday
2023-01-02,Teljes kiőrlésű kenyér,Kenyér,20,950,19000,2023,1,Monday
2023-01-02,Zsemle (db),Pékáru,251,90,22590,2023,1,Monday
2023-01-02,Kifli (db),Pékáru,250,85,21250,2023,1,Monday
2023-01-02,Vajas croissant,Édesség,46,450,20700,2023,1,Monday
2023-01-02,Csokis croissant,Édesség,40,490,19600,2023,1,Monday
2023-01-02,Túrós batyu,Édesség,41,420,17220,2023,1,Monday
2023-01-02,Sajtos pogácsa,Pékáru,124,150,18600,2023,1,Monday
2023-01-02,Fonott kalács,Kenyér,12,1200,14400,2023,1,Monday
2023-01-02,Mákos rétes,Édesség,40,350,14000,2023,1,Monday
2023-01-02,Diós rétes,Édesség,35,350,12250,2023,1,Monday
2023-01-02,Muffin,Édesség,33,380,12540,2023,1,Monday
2023-01-02,Szendvics,Egyéb,19,890,16910,2023,1,Monday
2023-01-02,Baguette,Kenyér,18,650,11700,2023,1,Monday
2023-01-03,Fehér kenyér,Kenyér,36,800,28800,2023,1,Tuesday
2023-01-03,Félbarna kenyér,Kenyér,28,850,23800,2023,1,Tuesday
2023-01-03,Teljes kiőrlésű kenyér,Kenyér,17,950,16150,2023,1,Tuesday
2023-01-03,Zsemle (db),Pékáru,231,90,20790,2023,1,Tuesday
2023-01-03,Kifli (db),Pékáru,225,85,19125,2023,1,Tuesday
2023-01-03,Vajas croissant,Édesség,43,450,19350,2023,1,Tuesday
2023-01-03,Csokis croissant,Édesség,32,490,15680,2023,1,Tuesday
2023-01-03,Túrós batyu,Édesség,35,420,14700,2023,1,Tuesday
2023-01-03,Sajtos pogácsa,Pékáru,100,150,15000,2023,1,Tuesday
2023-01-03,Fonott kalács,Kenyér,12,1200,14400,2023,1,Tuesday
2023-01-03,Mákos rétes,Édesség,33,350,11550,2023,1,Tuesday
2023-01-03,Diós rétes,Édesség,35,350,12250,2023,1,Tuesday
2023-01-03,Muffin,Édesség,28,380,10640,2023,1,Tuesday
2023-01-03,Szendvics,Egyéb,14,890,12460,2023,1,Tuesday
2023-01-03,Baguette,Kenyér,16,650,10400,2023,1,Tuesday
2023-01-04,Fehér kenyér,Kenyér,39,800,31200,2023,1,Wednesday
2023-01-04,Félbarna kenyér,Kenyér,28,850,23800,2023,1,Wednesday
2023-01-04,Teljes kiőrlésű kenyér,Kenyér,21,950,19950,2023,1,Wednesday
2023-01-04,Zsemle (db),Pékáru,236,90,21240,2023,1,Wednesday
2023-01-04,Kifli (db),Pékáru,230,85,19550,2023,1,Wednesday
2023-01-04,Vajas croissant,Édesség,42,450,18900,2023,1,Wednesday
2023-01-04,Csokis croissant,Édesség,40,490,19600,2023,1,Wednesday
2023-01-04,Túrós batyu,Édesség,41,420,17220,2023,1,Wednesday
2023-01-04,Sajtos pogácsa,Pékáru,115,150,17250,2023,1,Wednesday
2023-01-04,Fonott kalács,Kenyér,12,1200,14400,2023,1,Wednesday
2023-01-04,Mákos rétes,Édesség,33,350,11550,2023,1,Wednesday
2023-01-04,Diós rétes,Édesség,32,350,11200,2023,1,Wednesday
2023-01-04,Muffin,Édesség,36,380,13680,2023,1,Wednesday
2023-01-04,Szendvics,Egyéb,17,890,15130,2023,1,Wednesday
2023-01-04,Baguette,Kenyér,18,650,11700,2023,1,Wednesday
2023-01-05,Fehér kenyér,Kenyér,46,800,36800,2023,1,Thursday
2023-01-05,Félbarna kenyér,Kenyér,32,850,27200,2023,1,Thursday
2023-01-05,Teljes kiőrlésű kenyér,Kenyér,22,950,20900,2023,1,Thursday
2023-01-05,Zsemle (db),Pékáru,273,90,24570,2023,1,Thursday
2023-01-05,Kifli (db),Pékáru,263,85,22355,2023,1,Thursday
2023-01-05,Vajas croissant,Édesség,54,450,24300,2023,1,Thursday
2023-01-05,Csokis croissant,Édesség,40,490,19600,2023,1,Thursday
2023-01-05,Túrós batyu,Édesség,43,420,18060,2023,1,Thursday
2023-01-05,Sajtos pogácsa,Pékáru,126,150,18900,2023,1,Thursday
2023-01-05,Fonott kalács,Kenyér,14,1200,16800,2023,1,Thursday
2023-01-05,Mákos rétes,Édesség,39,350,13650,2023,1,Thursday
2023-01-05,Diós rétes,Édesség,38,350,13300,2023,1,Thursday
2023-01-05,Muffin,Édesség,40,380,15200,2023,1,Thursday
